Type, ID, Coordinates
TH30,0,498016,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 0.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 0.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498038,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 0.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 0.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498040,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 26000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 26000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498042,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 26000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498044,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 26000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 26000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498046,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 26000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498048,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 26000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498050,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 26000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498052,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 26000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 26000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498054,Line(StartPoint = Point(X = 35000.000, Y = 37000.000, Z = 26000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498056,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 26000.000), EndPoint = Point(X = 38000.000, Y = 37000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498058,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 26000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 26000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498060,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 26000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498062,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 26000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 26000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498064,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 29000.000), EndPoint = Point(X = 15000.000, Y = 40000.000, Z = 29000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498066,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 29000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498068,Line(StartPoint = Point(X = 12000.000, Y = 25000.000, Z = 29000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 29000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498070,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 29000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498072,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 29000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498074,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 29000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498076,Line(StartPoint = Point(X = 35000.000, Y = 40000.000, Z = 29000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 29000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498078,Line(StartPoint = Point(X = 35000.000, Y = 37000.000, Z = 29000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498080,Line(StartPoint = Point(X = 38000.000, Y = 37000.000, Z = 29000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498082,Line(StartPoint = Point(X = 35000.000, Y = 25000.000, Z = 29000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 29000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498084,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 29000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498086,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 29000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 29000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498088,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 32000.000), EndPoint = Point(X = 15000.000, Y = 40000.000, Z = 32000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498090,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 32000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498092,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 32000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498094,Line(StartPoint = Point(X = 12000.000, Y = 25000.000, Z = 32000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 32000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498096,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 32000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498098,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 32000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498100,Line(StartPoint = Point(X = 35000.000, Y = 25000.000, Z = 32000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 32000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498102,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 32000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498104,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 32000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498106,Line(StartPoint = Point(X = 35000.000, Y = 40000.000, Z = 32000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 32000.000), Direction = Vector(X = 3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498108,Line(StartPoint = Point(X = 35000.000, Y = 37000.000, Z = 32000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498110,Line(StartPoint = Point(X = 38000.000, Y = 37000.000, Z = 32000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 32000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498226,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 4000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 4000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498228,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 4000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498230,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 4000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 4000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498232,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 4000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498234,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 4000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498236,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 4000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498238,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 4000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 4000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498240,Line(StartPoint = Point(X = 35000.000, Y = 40000.000, Z = 4000.000), EndPoint = Point(X = 35000.000, Y = 37000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498242,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 4000.000), EndPoint = Point(X = 38000.000, Y = 37000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498244,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 4000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 4000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498246,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 4000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498248,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 4000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 4000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498362,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 8000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 8000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498364,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 8000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498366,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 8000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 8000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498368,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 8000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498370,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 8000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498372,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 8000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498374,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 8000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 8000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498376,Line(StartPoint = Point(X = 35000.000, Y = 37000.000, Z = 8000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498378,Line(StartPoint = Point(X = 38000.000, Y = 37000.000, Z = 8000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498380,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 8000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 8000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498382,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 8000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498384,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 8000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 8000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498498,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 11000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 11000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498500,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 11000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498502,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 11000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 11000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498504,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 11000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498506,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 11000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498508,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 11000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498510,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 11000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 11000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498512,Line(StartPoint = Point(X = 35000.000, Y = 37000.000, Z = 11000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498514,Line(StartPoint = Point(X = 38000.000, Y = 37000.000, Z = 11000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498516,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 11000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 11000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498518,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 11000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498520,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 11000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 11000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498634,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 14000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 14000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498636,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 14000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498638,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 14000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 14000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498640,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 14000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498642,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 14000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498644,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 14000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498646,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 14000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 14000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498648,Line(StartPoint = Point(X = 35000.000, Y = 37000.000, Z = 14000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498650,Line(StartPoint = Point(X = 38000.000, Y = 37000.000, Z = 14000.000), EndPoint = Point(X = 38000.000, Y = 40000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = 3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498652,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 14000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 14000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498654,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 14000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498656,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 14000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 14000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498770,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 17000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 17000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498772,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 17000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498774,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 17000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 17000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498776,Line(StartPoint = Point(X = 12000.000, Y = 27000.000, Z = 17000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498778,Line(StartPoint = Point(X = 12000.000, Y = 40000.000, Z = 17000.000), EndPoint = Point(X = 12000.000, Y = 38000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498780,Line(StartPoint = Point(X = 15000.000, Y = 27000.000, Z = 17000.000), EndPoint = Point(X = 15000.000, Y = 25000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498782,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 17000.000), EndPoint = Point(X = 35000.000, Y = 40000.000, Z = 17000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498784,Line(StartPoint = Point(X = 35000.000, Y = 40000.000, Z = 17000.000), EndPoint = Point(X = 35000.000, Y = 37000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498786,Line(StartPoint = Point(X = 38000.000, Y = 40000.000, Z = 17000.000), EndPoint = Point(X = 38000.000, Y = 37000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -3000.000, Z = 0.000, Length = 3000.000))
TH30,0,498788,Line(StartPoint = Point(X = 38000.000, Y = 25000.000, Z = 17000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 17000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498790,Line(StartPoint = Point(X = 38000.000, Y = 27000.000, Z = 17000.000), EndPoint = Point(X = 38000.000, Y = 25000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498792,Line(StartPoint = Point(X = 35000.000, Y = 27000.000, Z = 17000.000), EndPoint = Point(X = 35000.000, Y = 25000.000, Z = 17000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498906,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 20000.000), EndPoint = Point(X = 12000.000, Y = 40000.000, Z = 20000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
TH30,0,498908,Line(StartPoint = Point(X = 15000.000, Y = 40000.000, Z = 20000.000), EndPoint = Point(X = 15000.000, Y = 38000.000, Z = 20000.000), Direction = Vector(X = 0.000, Y = -2000.000, Z = 0.000, Length = 2000.000))
TH30,0,498910,Line(StartPoint = Point(X = 15000.000, Y = 25000.000, Z = 20000.000), EndPoint = Point(X = 12000.000, Y = 25000.000, Z = 20000.000), Direction = Vector(X = -3000.000, Y = 0.000, Z = 0.000, Length = 3000.000))
